net,length_um
clknet_2_1__leaf_clk,118.32
clknet_2_0__leaf_clk,103.55
clknet_2_2__leaf_clk,84.18
clknet_0_clk,79.1
clknet_2_3__leaf_clk,73.76
a_q\[4\],57.66
clk,50.65
a_q\[2\],50
b_q\[8\],49.59
a_q\[5\],45.16
a_q\[1\],44.34
b_q\[15\],44.24
net46,42.46
b_q\[13\],42.3
b_q\[9\],42.02
sum_d\[16\],41.765
a_q\[10\],41.76
sum_d\[14\],41.1
b_q\[6\],37.98
net33,37.6
sum_d\[12\],37.185
b_q\[12\],36.68
net40,36.44
sum_d\[13\],35.52
b_q\[7\],35.5
b_q\[10\],34.94
a_q\[7\],34.76
a_q\[3\],32.94
net17,32.505
sum_d\[0\],32.055
net45,31.48
a_q\[6\],30.92
sum_d\[11\],30.065
_055_,29.32
net3,29.285
b_q\[14\],28.48
a_q\[9\],28.26
b_q\[1\],26.18
net22,25.045
cin_q,24.96
sum_d\[10\],23.98
_072_,23.76
net23,23.465
b_q\[2\],23.09
sum_d\[1\],22.845
net36,22.56
net49,21.7
net1,21.34
net4,21.34
b_q\[4\],20.88
_030_,20.52
net10,19.145
b_q\[11\],18.9
sum_d\[6\],18.885
net19,18.405
b_q\[3\],18.32
sum_d\[2\],17.935
a_q\[8\],17.78
_021_,17.62
sum[16],17.45
a_q\[15\],17.2
b_q\[5\],16.94
_043_,16.9
_018_,15.9
a[1],15.42
_027_,15.12
net35,14.94
sum_d\[5\],14.745
_064_,14.52
_020_,14.48
a[2],14.2
_063_,14.04
_008_,13.96
net13,13.925
a[6],13.74
a[10],13.28
a[3],13.28
_041_,13.24
a[0],12.82
_047_,12.7
_022_,12.58
sum_d\[9\],12.52
net50,12.5
_068_,12.38
b[8],12.38
a[13],12.36
a[14],12.36
a[15],12.36
a[5],12.36
a[7],12.36
a[8],12.36
a[9],12.36
_059_,12.22
sum[0],12.13
net6,12.125
_031_,12.02
b[2],11.94
b[5],11.94
net48,11.72
a_q\[11\],11.69
net41,11.62
_028_,11.6
_017_,11.52
_056_,11.46
a[11],11.44
a[12],11.44
a[4],11.44
_000_,11.2
b[6],11.02
_033_,11
_003_,10.86
_023_,10.58
b[3],10.56
b[9],10.56
_070_,10.54
_050_,10.28
_054_,10.24
_045_,10.2
net15,10.165
b[0],10.1
net34,9.98
_037_,9.9
_061_,9.9
_044_,9.84
_067_,9.8
a_q\[13\],9.66
b[10],9.64
b[11],9.64
b[13],9.64
b[14],9.64
b[15],9.64
_035_,9.48
_007_,9.44
net26,9.365
_049_,9.24
_026_,9.18
b[4],9.18
b[7],9.18
_062_,8.9
net7,8.845
_032_,8.82
b[12],8.72
_009_,8.7
_034_,8.56
_001_,8.46
b[1],8.26
_073_,8.2
_004_,8.02
_029_,8.02
_042_,7.6
_006_,7.56
cin,7.55
sum_d\[4\],7.535
net24,7.525
sum_d\[8\],7.46
sum[15],7.35
a_q\[12\],7.2
_024_,7.1
_074_,7.1
_012_,7.08
sum[10],6.89
sum_d\[15\],6.885
_038_,6.78
_014_,6.76
_051_,6.72
sum[1],6.67
sum[3],6.67
sum[5],6.67
sum[9],6.67
net43,6.66
net9,6.325
net29,5.965
net5,5.845
_058_,5.68
net2,5.555
_010_,5.38
_065_,5.34
sum[11],5.29
sum[12],5.29
sum[13],5.29
sum[7],5.29
a_q\[14\],5.26
_013_,5.22
net38,5.22
b_q\[0\],5.14
net37,5.14
net16,5.095
net12,5.045
sum[14],4.95
_060_,4.9
_048_,4.88
sum[2],4.61
sum[4],4.61
sum[6],4.61
net20,4.585
_011_,4.42
net14,4.385
a_q\[0\],4.34
net44,4.34
sum[8],4.27
net21,4.24
net28,4.24
_046_,4.1
net42,4
_005_,3.88
_057_,3.88
_066_,3.66
_053_,3.42
sum_d\[7\],3.405
net27,3.405
_016_,2.96
_039_,2.64
net39,2.62
net47,2.62
net18,2.545
net30,2.545
net32,2.545
_036_,2.3
net11,2.255
_019_,2.18
_002_,2.16
sum_d\[3\],2.125
net8,2.085
_040_,2.04
net25,2.025
net31,2.025
_052_,1.82
_015_,1.7
_025_,1.38
_069_,0.92
_071_,0.92
